demand_id,facility_id,distance_m,straight_line_m,detour_factor
129631,618,9418.625616185804,8523.676811213707,1.1049956286229325
129632,34890,13380.320713437797,9881.487777709068,1.3540795692346543
129633,34890,9550.179710364793,8177.76870780961,1.1678221837265412
129634,34890,7426.588890111343,7221.225484877266,1.028438857873106
129635,34890,8350.404650780762,8170.8552862212655,1.0219743659959655
129636,618,9893.338007067701,8884.848161175327,1.1135067057531984
129637,618,12966.251931229379,6175.422459305622,2.0996542368839544
129638,34890,10175.173528631612,7804.095642088836,1.3038248113920008
129639,34890,15318.42733240129,9670.747868376819,1.5839961439272228
129640,34890,8350.404650780762,8122.559004818146,1.0280509683989323
129641,21545,26005.26597600843,21900.16788060781,1.1874459646967186
129642,34890,8938.051753586193,7346.081485103006,1.216710129299752
129643,34890,10000.485222663043,7095.330173361568,1.4094460692200732
129644,34890,9441.551972063678,7349.88679754658,1.2845846789389062
129645,618,7159.4268972049495,6665.148099621141,1.0741587118839722
129646,618,7221.6607977696,6680.3348665316935,1.0810327539042894
129648,34890,7758.713446614808,7139.0434356646265,1.086800145780664
129649,34890,15384.1522898138,8205.191063120603,1.8749291968300479
129650,618,5650.999327275228,4665.974329098052,1.2111081049105523
129651,8311,7736.169945484029,7451.607554710815,1.0381880538774908
129652,34890,15766.693625526013,8748.756212700599,1.8021640153416838
129653,34890,9539.646311173905,7261.9185472623385,1.3136537196179712
129654,34890,6531.5970266673885,5822.848178305112,1.121718586275862
129655,34890,9849.377683165705,7554.359221047283,1.303800546805379
129656,34890,9889.418717534767,7445.372271996071,1.32826383372815
129657,34890,9386.369215117471,6877.561579548544,1.3647815590672778
129658,34890,7642.496494715554,6165.6845732608635,1.2395211600443006
129659,34890,9971.581478736412,7539.063076083798,1.3226552660594264
129660,618,3169.260046301036,2821.333463362296,1.1233199079289629
129661,34890,6777.306723581524,6367.6943481154485,1.064326638979979
129662,34890,6752.21963490498,6382.551929696156,1.0579184798307504
129663,8311,8297.06627502868,8176.334557380679,1.0147659953003045
129664,21545,21822.665608435767,16965.608200252256,1.2862884342756007
129665,23939,4202.309804535397,3253.6149761309207,1.291581774538249
129666,34890,7204.089166092515,5565.4803760361865,1.2944236039555257
129667,8311,6928.370044035375,6390.460358227287,1.0841738553491793
129668,8311,6899.593853595854,6697.490298327035,1.0301760131432072
129669,21545,14042.51585276657,9954.06176308949,1.4107322404646327
129670,21545,22463.88883669279,20957.13170387386,1.0718971066322216
129671,23939,9329.881291319898,6916.729797273378,1.348886188238523
